# Wall heat-flux
# Time          	patch           	min             	max             	integral        
214             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
215             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
216             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
217             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
218             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
219             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
220             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
221             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
222             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
223             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
224             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
225             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
226             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
227             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
228             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
229             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
230             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
231             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
232             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
233             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
234             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
235             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
236             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
237             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
238             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
239             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
240             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
241             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
242             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
243             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
244             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
245             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
246             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
247             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
248             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
249             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
250             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
251             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
252             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
253             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
254             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
255             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
256             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
257             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
258             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
259             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
260             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
261             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
262             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
263             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
264             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
265             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
266             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
267             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
268             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
269             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
270             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
271             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
272             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
273             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
274             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
275             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
276             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
277             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
278             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
279             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
280             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
281             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
282             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
283             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
284             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
285             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
286             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
287             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
288             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
289             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
290             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
291             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
292             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
293             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
294             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
295             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
296             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
297             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
298             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
299             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
300             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
301             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
302             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
303             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
304             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
305             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
306             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
307             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
308             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
309             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
310             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
311             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
312             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
313             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
314             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
315             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
316             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
317             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
318             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
319             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
320             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
321             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
322             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
323             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
324             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
325             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
326             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
327             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
328             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
329             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
330             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
331             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
332             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
333             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
334             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
335             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
336             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
337             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
338             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
339             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
340             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
341             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
342             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
343             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
344             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
345             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
346             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
347             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
348             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
349             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
350             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
351             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
352             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
353             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
354             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
355             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
356             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
357             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
358             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
359             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
360             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
361             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
362             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
363             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
364             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
